"step.1","step.2","count"
"string-interpolation-julia","broken-macbook-pro-hinge-fixed-free",5
"coronado-island-san-diego","Exited Site",5
"category/digital-analytics/page/4","Exited Site",5
"Entered Site","video-r-rstudio-rcmdr-rattle/comment-page-1",5
"python-pypy-julia-r-pqr-jit-just-in-time-compiler","about",5
"Entered Site","python-pypy-julia-r-pqr-jit-just-in-time-compiler/%3C/u%3E",5
"category/data-science","tag/hive",5
"category/data-science","tag/hadoop",5
"category/data-science","tag/r",5
"rsitecatalyst-k-means-clustering","category/digital-analytics/page/4",5
"category/data-science/page/2","line-numbers-ipython-notebook",5
"python-pypy-julia-r-pqr-jit-just-in-time-compiler","string-interpolation-julia",5
"removing-powered-by-wordpress-twenty-eleven","category/wordpress-tutorials",5
"category/data-science","uploading-data-hadoop-amazon-ec2-cloudera-part-3",5
"removing-powered-by-wordpress-twenty-eleven","removing-powered-by-wordpress-scrappy",5
"sql-workbench-apache-hadoop-hive","hadoop-creating-tables-hive",5
"page/3","page/2",5
"category/data-science/page/4","category/data-science/page/3",5
"removing-powered-by-wordpress-twenty-eleven","twenty-eleven-child-theme-creating-css-file",5
"category/digital-analytics/page/5","category/digital-analytics/page/4",4
"tag/rsitecatalyst","rsitecatalyst-version-1-3-release-notes",4
"big-data-hadoop-amazon-ec2-cloudera-part-2","getting-started-using-rstudio",4
"tag/rsitecatalyst","rsitecatalyst",4
"rsitecatalyst","adobe-analytics-implementation-documentation",4
"tag/hadoop/page/3","big-data-hadoop-amazon-ec2-cloudera-part-1",4
"category/wordpress-tutorials","category/wordpress-tutorials/page/2",4
"category/social-media","linkedin-snow-e-mann",4
"broken-macbook-pro-hinge-fixed-free","broken-macbook-pro-hinge-fixed-free/comment-page-1",4
"real-time-reporting-adobe-analytics-api","rsitecatalyst",4
"rsitecatalyst","real-time-reporting-adobe-analytics-api",4
"anomaly-detection-adobe-analytics-api","http://randyzwitch.com",4
"page-navigation-wordpress-twenty-eleven","custom-header-twenty-eleven-child-theme",4
"julia-odbc-jl","tag/julia",4
"julia-import-data","about",4
"julia-odbc-jl","string-interpolation-julia",4
"anomaly-detection-adobe-analytics-api","r-google-analytics-api",4
"getting-started-hadoop-hive-pig","category/digital-analytics",4
"tag/julia/page/2","python-pypy-julia-r-pqr-jit-just-in-time-compiler",4
"adobe-analytics-implementation-documentation","category/digital-analytics/page/2",4
"category/data-science/page/5","category/data-science/page/4",4
"category/data-science/page/9","category/data-science/page/8",4
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","uaparser-jl",4
"http://randyzwitch.com","anomaly-detection-adobe-analytics-api",4
"http://randyzwitch.com","hadoop-creating-tables-hive",4
"http://randyzwitch.com","tag/julia",4
"http://randyzwitch.com","tag/hive",4
"http://randyzwitch.com","rsitecatalyst-k-means-clustering",4
"page/4","page/3",4
"page/4","rsitecatalyst-k-means-clustering",4
"julia-odbc-jl","sql-workbench-apache-hadoop-hive",4
"hadoop-creating-tables-hive","sql-workbench-apache-hadoop-hive",4
"category/digital-analytics/page/4","category/digital-analytics/page/3",4
"category/digital-analytics/page/2","adobe-analytics-implementation-documentation",4
"http://randyzwitch.com","python-pypy-julia-r-pqr-jit-just-in-time-compiler",4
"amazon-elastic-map-reduce-mrjob-python","julia-language-beginners",4
"r-google-analytics-api","rsitecatalyst-k-means-clustering",4
"r-google-analytics-api","wordpress-stats-or-google-analytics",4
"learning-r-sas","http://randyzwitch.com",4
"tag/python/page/2","tag/python/page/3",4
"r-google-analytics-api","anomaly-detection-adobe-analytics-api",4
"ipython-notebook-amazon-ec2","http://randyzwitch.com",4
"tag/julia","about",4
"tag/julia","category/data-science",4
"rsitecatalyst-version-1-1-release-notes","tag/rsitecatalyst",4
"tag/r/page/6","tag/r/page/7",4
"julia-import-data","amazon-elastic-map-reduce-mrjob-python",4
"wordpress-theme-twentyeleven-athualpa","twenty-eleven-child-theme-creating-css-file",4
"big-data-hadoop-amazon-ec2-cloudera-part-1","category/data-science/page/6",4
"category/data-science/page/3","julia-language-beginners",4
"category/data-science/page/3","julia-import-data",4
"custom-header-twenty-eleven-child-theme","comment-bubble-twenty-eleven",4
"r-json-jsonlite-sprintf-paste","category/digital-analytics",4
"r-json-jsonlite-sprintf-paste","category/data-science",4
"page/3","category/data-science",4
"python-pypy-julia-r-pqr-jit-just-in-time-compiler","amazon-elastic-map-reduce-mrjob-python",4
"learning-r-sas/comment-page-1","julia-language-beginners",4
"video-r-rstudio-rcmdr-rattle","sqldf-package-r",4
"python-pypy-julia-r-pqr-jit-just-in-time-compiler/%3C/u%3E","python-pypy-julia-r-pqr-jit-just-in-time-compiler",4
"sqldf-package-r","http://randyzwitch.com",4
"Entered Site","twitter-promoted-tweets",4
"category/digital-analytics/page/5","Exited Site",4
"r-language-oddities","page/2",4
"2011/07/custom-header-twenty-eleven-child-theme","Exited Site",4
"Entered Site","google-analytics-individual-qualification",4
"Entered Site","category/digital-analytics/page/2",4
"sqldf-package-r","category/data-science",4
"uaparser-jl","http://randyzwitch.com",4
"category/technology","rsitecatalyst",4
"twenty-eleven-child-theme-creating-css-file","custom-header-twenty-eleven-child-theme",4
"page/3","getting-started-hadoop-hive-pig",4
"twenty-eleven-child-theme-creating-css-file","removing-powered-by-wordpress-twenty-eleven",4
"category/data-science/page/2","hadoop-creating-tables-hive",4
"category/data-science/page/2","http://randyzwitch.com",4
"category/data-science/page/2","ipython-notebook-amazon-ec2",4
"rsitecatalyst-k-means-clustering","about",4
"about","broken-macbook-pro-hinge-fixed-free/comment-page-1",4
"about","julia-odbc-jl",4
"string-interpolation-julia","hadoop-creating-tables-hive",4
"string-interpolation-julia","julia-language-beginners",4
"page/3","ipython-notebook-amazon-ec2",4
"string-interpolation-julia","about",4
"wordpress-stats-or-google-analytics","google-analytics-for-wordpress",4
"about","julia-language-beginners",4
"r-amazon-ec2","big-data-hadoop-amazon-ec2-cloudera-part-1",4
"category/data-science/page/4","data-science-innovation",4
"category/data-science","tag/julia",4
"category/digital-analytics","r-google-analytics-api",4
"category/wordpress-tutorials/page/2","category/wordpress-tutorials/page/3",4
"page/3","line-numbers-ipython-notebook",4
"category/data-science","r-amazon-ec2",4
"category/data-science","category/data-science/page/8",4
"category/data-science","r-amazon-ec2/comment-page-1",4
"category/data-science","learning-r-sas/comment-page-1",4
"rsitecatalyst","anomaly-detection-adobe-analytics-api",3
"tag/r/page/5","tag/r/page/6",3
"category/digital-analytics/page/5","bounce-rate-modification-google-analytics-cutroni",3
"tag/hadoop/page/3","big-data-hadoop-amazon-ec2-cloudera-part-2",3
"category/social-media","http://randyzwitch.com",3
"big-data-hadoop-amazon-ec2-cloudera-part-2","amazon-elastic-map-reduce-mrjob-python",3
"big-data-hadoop-amazon-ec2-cloudera-part-2","category/data-science/page/4",3
"category/wordpress-tutorials","removing-powered-by-wordpress-scrappy",3
"broken-macbook-pro-hinge-fixed-free","string-interpolation-julia",3
"category/social-media","uaparser-jl",3
"julia-import-data","uaparser-jl",3
"broken-macbook-pro-hinge-fixed-free","category/digital-analytics",3
"broken-macbook-pro-hinge-fixed-free","category/technology",3
"wordpress-remove-this-entry-was-posted-in","2011/07/custom-header-twenty-eleven-child-theme",3
"real-time-reporting-adobe-analytics-api","tag/rsitecatalyst",3
"daa-certified-web-analyst-exam","about",3
"category/digital-analytics/page/10","category/digital-analytics/page/8",3
"category/data-science/page/8","getting-started-using-rstudio",3
"tag/hive","tag/julia",3
"getting-started-hadoop-hive-pig","category/data-science/page/2",3
"getting-started-hadoop-hive-pig","about",3
"tag/hive","r-language-oddities",3
"tag/hive","category/data-science",3
"julia-language-beginners","r-amazon-ec2/comment-page-1",3
"tag/hive","tag/hive/page/2",3
"getting-started-hadoop-hive-pig","julia-import-data",3
"category/data-science/page/5","uploading-data-hadoop-amazon-ec2-cloudera-part-3",3
"tag/rsitecatalyst/page/2","rsitecatalyst-k-means-clustering",3
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","r-amazon-ec2",3
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","string-interpolation-julia",3
"adobe-analytics-implementation-documentation","rsitecatalyst",3
"adobe-analytics-implementation-documentation","about",3
"category/data-science/page/5","julia-language-beginners",3
"linkedin-snow-e-mann","category/social-media",3
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","amazon-elastic-map-reduce-mrjob-python",3
"page/4","python-pypy-julia-r-pqr-jit-just-in-time-compiler",3
"page/4","http://randyzwitch.com",3
"page/4","line-numbers-ipython-notebook",3
"hive-five-hard-won-lessons","r-json-jsonlite-sprintf-paste",3
"page/4","ipython-notebook-amazon-ec2",3
"http://randyzwitch.com","uploading-data-hadoop-amazon-ec2-cloudera-part-3",3
"amazon-elastic-map-reduce-mrjob-python","hadoop-creating-tables-hive",3
"http://randyzwitch.com","tag/hadoop",3
"hive-five-hard-won-lessons","julia-odbc-jl",3
"line-numbers-ipython-notebook","category/data-science/page/3",3
"hadoop-creating-tables-hive","eyeblaster/addineyeV2.html",3
"hadoop-creating-tables-hive","http://randyzwitch.com",3
"anomaly-detection-adobe-analytics-api","about",3
"category/digital-analytics/page/4","least-useful-omniture-reports",3
"line-numbers-ipython-notebook","http://randyzwitch.com",3
"line-numbers-ipython-notebook","category/data-science",3
"line-numbers-ipython-notebook","julia-odbc-jl",3
"amazon-elastic-map-reduce-mrjob-python","julia-import-data",3
"amazon-elastic-map-reduce-mrjob-python","uploading-data-hadoop-amazon-ec2-cloudera-part-3",3
"comment-bubble-twenty-eleven","removing-powered-by-wordpress-scrappy",3
"tag/amazon-ec2","big-data-hadoop-amazon-ec2-cloudera-part-1",3
"tag/amazon-ec2","r-amazon-ec2",3
"comment-bubble-twenty-eleven","custom-header-twenty-eleven-child-theme",3
"comment-bubble-twenty-eleven","twenty-eleven-child-theme-creating-css-file",3
"julia-language-beginners","line-numbers-ipython-notebook",3
"google-analytics-custom-variables","2011/08/google-analytics-for-wordpress",3
"learning-r-sas","category/data-science/page/8",3
"learning-r-sas","category/data-science/page/9",3
"amazon-elastic-map-reduce-mrjob-python","category/data-science/page/3",3
"amazon-elastic-map-reduce-mrjob-python","data-science-innovation",3
"amazon-elastic-map-reduce-mrjob-python","about",3
"ipython-notebook-amazon-ec2","about",3
"ipython-notebook-amazon-ec2","category/data-science",3
"r-google-analytics-api","bounce-rate-modification-google-analytics-cutroni",3
"ipython-notebook-amazon-ec2","r-amazon-ec2/comment-page-1",3
"julia-language-beginners","broken-macbook-pro-hinge-fixed-free",3
"removing-powered-by-wordpress-scrappy","twenty-eleven-child-theme-creating-css-file",3
"page/2","ipython-notebook-amazon-ec2",3
"page/2","page/4",3
"big-data-hadoop-amazon-ec2-cloudera-part-1","r-amazon-ec2",3
"page/2","r-json-jsonlite-sprintf-paste",3
"creating-dummy-variables-data-frame-r","page/3",3
"creating-dummy-variables-data-frame-r","r-amazon-ec2/comment-page-1",3
"creating-dummy-variables-data-frame-r","page/2",3
"big-data-hadoop-amazon-ec2-cloudera-part-1","http://randyzwitch.com",3
"r-json-jsonlite-sprintf-paste","page/2",3
"video-r-rstudio-rcmdr-rattle","getting-started-using-r-rcmdr",3
"video-r-rstudio-rcmdr-rattle","http://randyzwitch.com",3
"category/wordpress-tutorials/page/3","category/wordpress-tutorials/page/4",3
"tag/adobe-analytics","tag/adobe-analytics/page/2",3
"r-json-jsonlite-sprintf-paste","hive-five-hard-won-lessons",3
"r-json-jsonlite-sprintf-paste","rsitecatalyst-version-1-2-release-notes",3
"r-json-jsonlite-sprintf-paste","r-google-analytics-api",3
"tag/hadoop/page/4","learning-r-sas",3
"r-amazon-ec2/comment-page-1","http://randyzwitch.com",3
"category/digital-analytics/page/6","Exited Site",3
"Entered Site","introduction",3
"Entered Site","tag/julia/page/2",3
"2011/08/google-analytics-for-wordpress","Exited Site",3
"tag/iphone","Exited Site",3
"anomaly-detection-adobe-analytics-api","category/digital-analytics",3
"page/5","Exited Site",3
"twenty-eleven-child-theme-creating-css-file","category/wordpress-tutorials",3
"Other","http://randyzwitch.com",3
"custom-header-twenty-eleven-child-theme","twenty-eleven-child-theme-creating-css-file",3
"custom-header-twenty-eleven-child-theme","page-navigation-wordpress-twenty-eleven",3
"category/data-science/page/3","category/data-science/page/2",3
"sqldf-package-r","video-r-rstudio-rcmdr-rattle",3
"broken-macbook-pro-hinge-fixed-free/comment-page-1","julia-language-beginners",3
"tag/hadoop","getting-started-hadoop-hive-pig",3
"broken-macbook-pro-hinge-fixed-free/comment-page-1","category/data-science",3
"rsitecatalyst-k-means-clustering/comment-page-1","r-amazon-ec2/comment-page-1",3
"category/wordpress-tutorials/page/4","category/wordpress-tutorials/page/5",3
"removing-powered-by-wordpress-scrappy","category/wordpress-tutorials",3
"page/5","category/data-science",3
"page/5","page/4",3
"r-amazon-ec2","r-amazon-ec2/comment-page-1",3
"r-amazon-ec2","broken-macbook-pro-hinge-fixed-free/comment-page-1",3
"category/digital-analytics","rsitecatalyst-version-1-3-release-notes",3
"category/digital-analytics","learning-r-sas/comment-page-1",3
"category/data-science","category/data-science/page/9",3
"rsitecatalyst-k-means-clustering","category/digital-analytics/page/3",3
"string-interpolation-julia","getting-started-hadoop-hive-pig",3
"r-language-oddities","string-interpolation-julia",3
"learning-r-sas/comment-page-1","r-amazon-ec2/comment-page-1",3
"about","hive-five-hard-won-lessons",3
"about","string-interpolation-julia",3
"category/data-science/page/2","category/data-science/page/8",3
"about","least-useful-omniture-reports",3
"category/data-science/page/4","amazon-elastic-map-reduce-mrjob-python",3
"category/data-science","r-json-jsonlite-sprintf-paste",3
"python-pypy-julia-r-pqr-jit-just-in-time-compiler","r-language-oddities",3
"least-useful-omniture-reports","about",3
"category/data-science/page/7","sqldf-package-r",3
"data-science-innovation","learning-r-sas",3
"data-science-innovation","category/data-science/page/5",3
"r-language-oddities","broken-macbook-pro-hinge-fixed-free",3
"learning-r-sas/comment-page-1","learning-r-sas",3
"sql-workbench-apache-hadoop-hive","page/2",3
"learning-r-sas/comment-page-1","getting-started-hadoop-hive-pig",3
"automated-re-install-of-packages-for-r-3-0","getting-started-using-rstudio",3
"category/data-science/page/4","uploading-data-hadoop-amazon-ec2-cloudera-part-3",3
"sql-workbench-apache-hadoop-hive","about",3
"automated-re-install-of-packages-for-r-3-0","julia-language-beginners",3
"category/data-science/page/4","julia-import-data",3
"customize-adobe-sitecatalyst-menu","omniture-sitecatalyst-target-report",3
"customize-adobe-sitecatalyst-menu","least-useful-omniture-reports",3
"category/social-media","rsitecatalyst",2
"page/12","page/13",2
"bounce-rate-modification-google-analytics-cutroni","category/digital-analytics/page/6",2
"tag/iphone","category/data-science",2
"tag/rsitecatalyst","rsitecatalyst-k-means-clustering",2
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","hive-five-hard-won-lessons",2
"tag/rsitecatalyst","http://randyzwitch.com",2
"tag/rsitecatalyst","r-json-jsonlite-sprintf-paste",2
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","r-amazon-ec2/comment-page-1",2
"adobe-analytics-implementation-documentation","category/digital-analytics/page/3",2
"adobe-analytics-implementation-documentation","rsitecatalyst-version-1-2-release-notes",2
"bounce-rate-modification-google-analytics-cutroni","google-analytics-custom-variables",2
"adobe-analytics-implementation-documentation","http://randyzwitch.com",2
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","about",2
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","category/data-science/page/5",2
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","julia-odbc-jl",2
"uploading-data-hadoop-amazon-ec2-cloudera-part-3","uploading-data-hadoop-amazon-ec2-cloudera-part-1",2
"real-time-reporting-adobe-analytics-api","category/technology",2
"optimizely-wordpress-install","category/digital-analytics/page/7",2
"tag/hadoop/page/3","tag/hadoop/page/4",2
"rsitecatalyst","rsitecatalyst-version-1-1-release-notes",2
"wordpress-remove-this-entry-was-posted-in","custom-header-twenty-eleven-child-theme",2
"wordpress-remove-this-entry-was-posted-in","removing-powered-by-wordpress-twenty-eleven",2
"adobe-analytics-implementation-documentation","rsitecatalyst-k-means-clustering",2
"wordpress-remove-this-entry-was-posted-in","http://randyzwitch.com",2
"rsitecatalyst","category/social-media",2
"rsitecatalyst","rsitecatalyst-version-1-2-release-notes",2
"r-error-message-fun","category/data-science",2
"category/digital-analytics/page/5","least-useful-omniture-reports",2
"tag/r/page/3","creating-dummy-variables-data-frame-r",2
"r-error-message-fun","learning-r-sas",2
"rsitecatalyst","category/technology",2
"rsitecatalyst","rsitecatalyst-version-1-3-release-notes",2
"rsitecatalyst","broken-macbook-pro-hinge-fixed-free/comment-page-1",2
"tag/hadoop/page/2","uploading-data-hadoop-amazon-ec2-cloudera-part-3",2
"omniture-sitecatalyst-target-report","customize-adobe-sitecatalyst-menu",2
"uploading-data-hadoop-amazon-ec2-cloudera-part-4","uploading-data-hadoop-amazon-ec2-cloudera-part-3",2
"r-language-oddities","category/digital-analytics/page/2",2
"r-language-oddities","julia-language-beginners",2
"category/digital-analytics/page/9","category/digital-analytics/page/8",2
"julia-odbc-jl","category/digital-analytics",2
"visualizing-analytics-languages-venneuler-jl","category/data-science",2
"julia-odbc-jl","line-numbers-ipython-notebook",2
"julia-odbc-jl","broken-macbook-pro-hinge-fixed-free",2
"r-language-oddities","julia-import-data",2
"r-language-oddities","real-time-reporting-adobe-analytics-api",2
"omniture-sitecatalyst-target-report","real-time-reporting-adobe-analytics-api",2
"omniture-sitecatalyst-target-report","category/digital-analytics/page/7",2
"real-time-reporting-adobe-analytics-api","broken-macbook-pro-hinge-fixed-free/comment-page-1",2
"omniture-sitecatalyst-target-report","http://randyzwitch.com",2
"r-language-oddities","uaparser-jl",2
"r-language-oddities","rsitecatalyst",2
"r-language-oddities","rsitecatalyst-k-means-clustering",2
"page-navigation-wordpress-twenty-eleven","comment-bubble-twenty-eleven",2
"anomaly-detection-adobe-analytics-api","uaparser-jl",2
"category/data-science/page/8","category/social-media",2
"category/data-science/page/8","category/data-science/page/6",2
"getting-started-hadoop-hive-pig","julia-language-beginners",2
"category/data-science/page/5","data-science-innovation",2
"category/data-science/page/5","category/data-science/page/7",2
"adobe-analytics-implementation-documentation","creating-dummy-variables-data-frame-r",2
"category/data-science/page/5","big-data-hadoop-amazon-ec2-cloudera-part-2",2
"getting-started-hadoop-hive-pig","page/3",2
"getting-started-hadoop-hive-pig","page/2",2
"anomaly-detection-adobe-analytics-api","category/digital-analytics/page/4",2
"anomaly-detection-adobe-analytics-api","rsitecatalyst-k-means-clustering",2
"anomaly-detection-adobe-analytics-api","category/data-science",2
"tag/hive","tag/hadoop",2
"tag/hive","sql-workbench-apache-hadoop-hive",2
"getting-started-hadoop-hive-pig","creating-dummy-variables-data-frame-r",2
"getting-started-hadoop-hive-pig","broken-macbook-pro-hinge-fixed-free/comment-page-1",2
"adobe-analytics-implementation-documentation","category/data-science",2
"r-google-analytics-api","category/digital-analytics/page/5",2
"tag/julia","string-interpolation-julia",2
"rsitecatalyst-version-1-1-release-notes","adobe-analytics-implementation-documentation",2
"rsitecatalyst-version-1-1-release-notes","category/digital-analytics",2
"tag/julia","r-language-oddities",2
"tag/julia","tag/python",2
"category/wordpress-tutorials/page/5","twenty-eleven-child-theme-creating-css-file",2
"amazon-elastic-map-reduce-mrjob-python","r-amazon-ec2",2
"tag/julia","hive-five-hard-won-lessons",2
"rsitecatalyst-version-1-1-release-notes","rsitecatalyst-version-1-3-release-notes",2
"getting-started-using-rstudio","http://randyzwitch.com",2
"ipython-notebook-amazon-ec2","page/2",2
"ipython-notebook-amazon-ec2","category/data-science/page/3",2
"r-google-analytics-api","hive-five-hard-won-lessons",2
"ipython-notebook-amazon-ec2","category/digital-analytics",2
"ipython-notebook-amazon-ec2","tag/amazon-ec2",2
"getting-started-using-rstudio","about",2
"ipython-notebook-amazon-ec2","amazon-elastic-map-reduce-mrjob-python",2
"http://randyzwitch.com","Other",2
"http://randyzwitch.com","video-r-rstudio-rcmdr-rattle/comment-page-1",2
"hive-five-hard-won-lessons","rsitecatalyst",2
"hive-five-hard-won-lessons","uploading-data-hadoop-amazon-ec2-cloudera-part-3",2
"hive-five-hard-won-lessons","overlay-histogram-in-r",2
"line-numbers-ipython-notebook","page/2",2
"line-numbers-ipython-notebook","page/4",2
"hadoop-creating-tables-hive","amazon-elastic-map-reduce-mrjob-python",2
"hadoop-creating-tables-hive","category/social-media",2
"hive-five-hard-won-lessons","r-language-oddities",2
"hive-five-hard-won-lessons","page/2",2
"http://randyzwitch.com","bounce-rate-modification-google-analytics-cutroni",2
"http://randyzwitch.com","adobe-analytics-implementation-documentation",2
"http://randyzwitch.com","visualizing-analytics-languages-venneuler-jl",2
"http://randyzwitch.com","daa-certified-web-analyst-exam",2
"http://randyzwitch.com","getting-started-using-r-rcmdr",2
"page/4","tag/julia",2
"http://randyzwitch.com","ipython-notebook-amazon-ec2",2
"r-google-analytics-api","google-analytics-custom-variables",2
"r-google-analytics-api","daa-certified-web-analyst-exam",2
"julia-import-data","r-language-oddities",2
"category/digital-analytics/page/3","anomaly-detection-adobe-analytics-api",2
"getting-started-using-r-rcmdr","http://randyzwitch.com",2
"julia-import-data","r-error-message-fun",2
"julia-import-data","broken-macbook-pro-hinge-fixed-free",2
"category/digital-analytics/page/6","optimizely-wordpress-install",2
"string-interpolation-julia","tag/julia",2
"getting-started-using-r-rcmdr","category/data-science",2
"getting-started-using-r-rcmdr","big-data-hadoop-amazon-ec2-cloudera-part-1",2
"daa-certified-web-analyst-exam","big-data-hadoop-amazon-ec2-cloudera-part-1",2
"real-time-reporting-adobe-analytics-api","category/digital-analytics/page/2",2
"real-time-reporting-adobe-analytics-api","r-json-jsonlite-sprintf-paste",2
"daa-certified-web-analyst-exam","category/digital-analytics/page/5",2
"broken-macbook-pro-hinge-fixed-free","flashtalking/ftlocal.html",2
"broken-macbook-pro-hinge-fixed-free","julia-language-beginners",2
"broken-macbook-pro-hinge-fixed-free","julia-import-data",2
"julia-language-beginners","broken-macbook-pro-hinge-fixed-free/comment-page-1",2
"julia-language-beginners","big-data-hadoop-amazon-ec2-cloudera-part-1/comment-page-1",2
"learning-r-sas","data-science-innovation",2
"tag/amazon-ec2","uploading-data-hadoop-amazon-ec2-cloudera-part-3",2
"tag/amazon-ec2","tag/amazon-ec2/page/2",2
"learning-r-sas","about",2
"tag/python","tag/python/page/2",2
"r-google-analytics-api","google-analytics-for-wordpress",2
"r-google-analytics-api","daa-rising-star-award-2013",2
"comment-bubble-twenty-eleven","about",2
"comment-bubble-twenty-eleven","removing-powered-by-wordpress-twenty-eleven",2
"julia-language-beginners","data-science-innovation",2
"julia-language-beginners","page/7",2
"julia-language-beginners","r-json-jsonlite-sprintf-paste",2
"julia-language-beginners","string-interpolation-julia",2
"julia-language-beginners","tag/julia/page/2",2
"google-analytics-custom-variables","bounce-rate-modification-google-analytics-cutroni",2
"google-analytics-custom-variables","google-analytics-for-wordpress",2
"real-time-reporting-adobe-analytics-api","big-data-hadoop-amazon-ec2-cloudera-part-1/comment-page-1",2
"category/digital-analytics/page/6","category/digital-analytics/page/5",2
"r-amazon-ec2/comment-page-1","getting-started-hadoop-hive-pig",2
"rsitecatalyst-version-1-3-release-notes","tag/rsitecatalyst",2
"rsitecatalyst-version-1-3-release-notes","r-language-oddities",2
"r-amazon-ec2/comment-page-1","ipython-notebook-amazon-ec2",2
"tag/child-theme","page-navigation-wordpress-twenty-eleven",2
"creating-dummy-variables-data-frame-r","page/5",2
"creating-dummy-variables-data-frame-r","r-amazon-ec2",2
"creating-dummy-variables-data-frame-r","category/data-science/page/3",2
"rsitecatalyst-version-1-3-release-notes","rsitecatalyst-version-1-2-release-notes",2
"rsitecatalyst-version-1-3-release-notes","about",2
"category/data-science/page/3","category/data-science",2
"custom-header-twenty-eleven-child-theme","removing-powered-by-wordpress-twenty-eleven",2
"sqldf-package-r","overlay-histogram-in-r",2
"category/data-science/page/3","category/data-science/page/8",2
"category/data-science/page/3","category/data-science/page/5",2
"category/data-science/page/3","line-numbers-ipython-notebook",2
"category/data-science/page/3","ipython-notebook-amazon-ec2",2
"creating-dummy-variables-data-frame-r","google-analytics-custom-variables",2
"creating-dummy-variables-data-frame-r","tag/r/page/4",2
"tag/python/page/3","data-science-innovation",2
"r-json-jsonlite-sprintf-paste","real-time-reporting-adobe-analytics-api",2
"r-json-jsonlite-sprintf-paste","rsitecatalyst",2
"category/data-science/page/6","tag/r",2
"learning-r-sas/comment-page-1","r-amazon-ec2",2
"learning-r-sas/comment-page-1","rsitecatalyst",2
"learning-r-sas/comment-page-1","about",2
"r-json-jsonlite-sprintf-paste","learning-r-sas/comment-page-1",2
"big-data-hadoop-amazon-ec2-cloudera-part-1","hive-five-hard-won-lessons",2
"page/2","line-numbers-ipython-notebook",2
"page/2","category/data-science",2
"creating-dummy-variables-data-frame-r","page/4",2
"big-data-hadoop-amazon-ec2-cloudera-part-1","category/digital-analytics",2
"big-data-hadoop-amazon-ec2-cloudera-part-1","eyeblaster/addineyeV2.html",2
"big-data-hadoop-amazon-ec2-cloudera-part-1","tag/amazon-ec2",2
"big-data-hadoop-amazon-ec2-cloudera-part-1","category/data-science/page/5",2
"sqldf-package-r","about",2
"sqldf-package-r","category/data-science/page/7",2
"daa-rising-star-award-2013","Exited Site",2
"category/data-science/page/9","Exited Site",2
"page/14","Exited Site",2
"page/9","Exited Site",2
"category/digital-analytics/page/10","Exited Site",2
"Entered Site","tag/child-theme",2
"Entered Site","file:///Users/wolf/wp_originaldateien-Twenty%20Eleven/How%20to%20remove%20%22This%20entry%20was%20posted%20in%22%20|%20randyzwitch.com.html",2
"Entered Site","big-data-hadoop-amazon-ec2-cloudera-part-1/comment-page-1",2
"measure-hashtag-twitter","Exited Site",2
"category/digital-analytics/page/8","Exited Site",2
"big-data-hadoop-amazon-ec2-cloudera-part-2%00","Exited Site",2
"tag/hadoop","Exited Site",2
"string-interpolation-julia","uploading-data-hadoop-amazon-ec2-cloudera-part-3",2
"file:///Users/wolf/wp_originaldateien-Twenty%20Eleven/How%20to%20remove%20%22This%20entry%20was%20posted%20in%22%20|%20randyzwitch.com.html","Exited Site",2
"tag/adobe-analytics","Exited Site",2
"wp-content/uploads","Exited Site",2
"category/data-science/page/7","Exited Site",2
"Entered Site","tag/adobe-analytics",2
"Entered Site","page/3",2
"uaparser-jl","string-interpolation-julia",2
"uaparser-jl","category/digital-analytics",2
"uaparser-jl","category/technology",2
"uaparser-jl","broken-macbook-pro-hinge-fixed-free",2
"tag/hadoop","tag/hadoop/page/3",2
"broken-macbook-pro-hinge-fixed-free/comment-page-1","broken-macbook-pro-hinge-fixed-free",2
"broken-macbook-pro-hinge-fixed-free/comment-page-1","page/2",2
"category/technology","klout-perk-wahooly",2
"category/technology","uaparser-jl",2
"Entered Site","wp-content/uploads",2
"Entered Site","category/data-science/page/4",2
"Entered Site","2011/07/custom-header-twenty-eleven-child-theme",2
"Entered Site","category/data-science/page/2",2
"Entered Site","category/digital-analytics/page/8",2
"Entered Site","wp-content/uploads/2013/04",2
"Entered Site","daa-rising-star-award-2013",2
"tag/amazon-ec2/page/3","r-amazon-ec2",2
"tag/r","Exited Site",2
"category/digital-analytics/page/8","category/digital-analytics/page/6",2
"category/data-science/page/2","hive-five-hard-won-lessons",2
"category/data-science/page/2","category/digital-analytics",2
"category/digital-analytics/page/8","r-google-analytics-api",2
"tag/amazon-ec2/page/2","tag/amazon-ec2/page/3",2
"about","r-json-jsonlite-sprintf-paste",2
"about","big-data-hadoop-amazon-ec2-cloudera-part-1/comment-page-1",2
"about","uaparser-jl",2
"category/data-science/page/2","sql-workbench-apache-hadoop-hive",2
"rsitecatalyst-k-means-clustering","category/digital-analytics/page/2",2
"wordpress-stats-or-google-analytics","r-google-analytics-api",2
